conquering_cost,filename,total_scores,travelling_cost
2962.1449999999995,inputs/602.in,5483.5812000000005,2521.4362000000006
213.0,inputs/593.in,1669.0,1456.0
97.0,inputs/420.in,293.0,196.0
99.0,inputs/560.in,391.0,292.0
201.0,inputs/40.in,10623.0,10422.0
2994.0,inputs/471.in,8542.000000000025,5548.000000000026
0.38799999999999996,inputs/531.in,3347.0152000000003,3346.6272000000004
232.45999999999998,inputs/11.in,505.96000000000004,273.50000000000006
251.0,inputs/87.in,534.0,283.0
4671.0,inputs/636.in,20021.0,15350.0
99995180515.28543,inputs/667.in,278110982318.9827,178115801803.6973
163.0,inputs/694.in,489.0,326.0
1.0,inputs/505.in,41.0,40.0
192190094208.0,inputs/25.in,390090280512.0,197900186304.0
84.0,inputs/445.in,278.0,194.0
280.0,inputs/554.in,702.0,422.0
26.0,inputs/74.in,104.0,78.0
432.0,inputs/414.in,5678.0,5246.0
78.0,inputs/54.in,4232.0,4154.0
3427153.7994,inputs/574.in,3433195.4706,6041.6712
70.0,inputs/434.in,115.91224,45.912240000000004
2.0,inputs/525.in,16.0,14.0
198.0,inputs/465.in,412.0,214.0
555.0,inputs/647.in,3007.0,2452.0
417.427,inputs/707.in,1325.859,908.432
87544.61726000001,inputs/496.in,214472.30885999993,126927.69159999992
6000000159.0,inputs/616.in,6000000337.0,178.0
1228.48,inputs/587.in,2748.48,1520.0
57.0,inputs/451.in,365.0,308.0
3018.85835,inputs/31.in,5987.01129,2968.152940000001
505946.13,inputs/680.in,1579350.73,1073404.6
500119495.31272966,inputs/511.in,7550374380.888342,7050254885.575612
6.0,inputs/400.in,86.0,80.0
3526.0,inputs/60.in,14546.0,11020.0
3988.0,inputs/540.in,4788.0,800.0
1290.0,inputs/622.in,2566.0,1276.0
166.0,inputs/93.in,594.0,428.0
15450.0,inputs/673.in,15450.0248,0.024799999999999905
138614.0,inputs/158.in,138636.0,22.0
96771.0,inputs/389.in,192493.0,95722.0
540.0,inputs/298.in,15552.0,15012.0
518.80373,inputs/109.in,13644.307749999998,13125.504019999998
320.0,inputs/119.in,496.0,176.0
344.0,inputs/288.in,1082.0,738.0
25.0,inputs/399.in,36.46,11.46
1579.0,inputs/148.in,2889.0,1310.0
79930.0,inputs/663.in,2214542858.0,2214462928.0
417.06199999999995,inputs/723.in,1199.5593999999999,782.4974
47.0,inputs/632.in,177.0,130.0
10.0,inputs/83.in,118.0,108.0
11700.0,inputs/70.in,23800.0,12100.0
140624828.45178,inputs/550.in,961432874.45178,820808046.0
203.0,inputs/410.in,719.0,516.0
49010.0,inputs/21.in,340029.1999999995,291019.1999999995
830.0,inputs/501.in,2520.0,1690.0
70.0,inputs/690.in,304.0,234.0
18687.182,inputs/441.in,67650.092,48962.91000000001
