conquering_cost,filename,total_scores,travelling_cost
855728.0,inputs/61.in,2263634.0,1407906.0
250025.0,inputs/92.in,1814091.0000000014,1564066.0000000014
350.0,inputs/623.in,868.0,518.0
5040.0,inputs/672.in,5040.0186,0.018599999999999943
36290.0,inputs/159.in,38404.0,2114.0
869244.0,inputs/388.in,1505936.0,636692.0
11171.07781,inputs/108.in,58136.71661000002,46965.638800000015
148.0,inputs/299.in,3516.0,3368.0
780.0,inputs/289.in,3510.0,2730.0
1446.0,inputs/118.in,2294.0,848.0
186.0,inputs/398.in,664.0,478.0
177.0,inputs/149.in,471.6000000000001,294.6000000000001
20014.0,inputs/662.in,36050.0,16036.0
328.0,inputs/722.in,928.0,600.0
122.0,inputs/82.in,584.0,462.0
1678.0,inputs/633.in,1268551462.0,1268549784.0
7471720785.135751,inputs/551.in,8884111135.13575,1412390350.0
11700.0,inputs/71.in,23800.0,12100.0
6550.0,inputs/411.in,17540.0,10990.0
53.0,inputs/691.in,185.0,132.0
65.0,inputs/500.in,185.0,120.0
4650.0,inputs/20.in,24250.0,19600.0
1143380.7559000002,inputs/440.in,1145600.1431000002,2219.3872
27004145774.0,inputs/607.in,75533335302.0,48529189528.0
103.0,inputs/596.in,303.0,200.0
1214.0,inputs/716.in,854243290.0,854242076.0
4074.0,inputs/487.in,5866.0,1792.0
71.5,inputs/656.in,272.44426,200.94425999999999
217.0,inputs/474.in,353.0,136.0
205480.0,inputs/534.in,873808.0,668328.0
7277.0,inputs/14.in,32425.0,25148.0
550.0,inputs/425.in,2556.0,2006.0
422.0,inputs/565.in,1428.0,1006.0
651.5000000000009,inputs/45.in,2275.5000000000005,1623.9999999999995
50010351471.96618,inputs/405.in,124151135972.30603,74140784500.33984
75.0,inputs/65.in,155.0,80.0
12.0,inputs/545.in,56.0,44.0
526.6744099999999,inputs/454.in,1464.0846900000001,937.4102800000002
776.0,inputs/34.in,3742.0,2966.0
218.34400000000002,inputs/685.in,615.1659999999998,396.82199999999983
12637.0,inputs/514.in,30447.0,17810.0
267.56000000000006,inputs/9.in,651.6400000000002,384.08000000000015
5.51754,inputs/676.in,37.57506000000001,32.057520000000004
5119.0,inputs/627.in,6037.524,918.524
4.799999999999999,inputs/96.in,55354.39999999992,55349.59999999992
144.0,inputs/520.in,420.0,276.0
8267.112999999998,inputs/460.in,16424.604999999992,8157.491999999996
48.0,inputs/51.in,238.0,190.0
